role,player_name,assigned_position,positions,team,price,avg_points,predicted_points
Starting,"Cook, Damien",HOK,HOK,STG,526500.0,2.6768438816070557,110.59561920166016
Starting,"Mooney, Trey",FRF,2RF|FRF,NEW,442000.0,2.2366552352905273,92.96346282958984
Starting,"Horsburgh, Corey",FRF,2RF|FRF,CBR,595700.0,1.4763290882110596,71.8338623046875
Starting,"Martin, Noah",2RF,2RF,CBR,250800.0,3.117032527923584,121.61219787597656
Starting,"Kikau, Viliame",2RF,2RF,BUL,650300.0,2.396723747253418,98.70471954345703
Starting,"Lisati, Ativalu",2RF,2RF,MEL,269400.0,1.9965522289276123,90.88556671142578
Starting,"Hynes, Nicholas",HFB,HFB,SHA,749300.0,3.717289924621582,132.066650390625
Starting,"Trindall, Braydon",5/8,5/8,SHA,417100.0,3.7573070526123047,138.19827270507812
Starting,"Ramien, Jesse",CTW,CTW,SHA,502000.0,3.0770153999328613,117.24651336669922
Starting,"Mitchell, Latrell",CTW,CTW,STH,626800.0,2.996981143951416,115.8329086303711
Starting,"Koula, Tolutau",CTW,CTW,MNL,643200.0,2.7968952655792236,108.47795104980469
Starting,"Jenkins, Thomas",CTW,CTW,PTH,598900.0,2.636826753616333,103.68083190917969
Starting,"Faalogo, Sua",FLB,FLB,MEL,511700.0,3.117032527923584,117.03457641601562
Bench,"Verrills, Sam",HOK,HOK,GCT,538800.0,1.3162604570388794,65.81478118896484
Bench,"Couchman, Toby",FRF,2RF|FRF,STG,588300.0,1.356277585029602,71.17174530029297
Bench,"Papalii, Isaiah",FRF,2RF|FRF,PTH,579900.0,0.7560202479362488,53.67082595825195
Bench,"Chan, Joe",2RF,2RF,MEL,309900.0,1.9565349817276,85.40794372558594
Flex,"Boyd, Tanah",FLEX,HFB,NZL,574500.0,3.717289924621582,135.5282440185547
Reserve,"Ponga, Kalyn",FLB,FLB,NEW,607800.0,3.117032527923584,111.79714965820312
Reserve,"Sasagi, Simi",2RF,2RF|CTW,CBR,401400.0,1.356277585029602,70.9268569946289
Reserve,"Russell, Sean",CTW,CTW,PAR,409300.0,1.2762433290481567,67.01529693603516
Reserve,"Chester, Tom",CTW,CTW|FLB,NQC,216800.0,0.9561060667037964,60.8769645690918
Reserve,"Tu, Setu",CTW,CTW,STG,201400.0,0.9561060667037964,58.889984130859375
Reserve,"Hau, Arama",2RF,2RF|FRF,GCT,235600.0,0.7560202479362488,53.44980239868164
Reserve,"Sullivan, Jayden",HFB,5/8|HFB,STH,270800.0,-0.24440869688987732,28.031078338623047
Reserve,"Fineanganofo, John",5/8,5/8|HOK,DOL,201400.0,-1.5249577760696411,7.560032367706299
